,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Director,topBilled,TopBilled2nd,TopBilled3rd,primaryRegion,topBilledGender,secondTopBilledGender,thirdTopBilledGender,directorGender,Action,Adventure,Comedy,Drama,SciFi,Horror,Romance,Thriller,Mystery,Crime,Animation,Fantasy,Documentary,Musical,Sport,Adult,Western,Family,topBilled_Male,topBilled_Female,topBilled_Unknown,secondBilled_Male,secondBilled_Female,secondBilled_Unknown,thirdBilled_Male,thirdBilled_Female,thirdBilled_Unknown,director_Male,director_Female,director_Unknown,US_Region,bechdelScore
390,tt0037638,Detour,1945,68,"Crime,Drama,Film-Noir",7.4,11162,Edgar G. Ulmer,Tom Neal,Ann Savage,Claudia Drake,PT,Male,Female,Female,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
391,tt0037671,The Enchanted Cottage,1945,91,"Drama,Romance",7.6,2285,John Cromwell,Dorothy McGuire,Robert Young,Herbert Marshall,FR,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
392,tt0037674,Children of Paradise,1945,189,"Drama,Romance",8.3,15738,Marcel Carné,Arletty,Jean-Louis Barrault,Pierre Brasseur,FR,Unknown,Unknown,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2
393,tt0037800,'I Know Where I'm Going!',1945,91,"Drama,Romance",7.7,6584,,Wendy Hiller,Roger Livesey,George Carney,GB,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3
394,tt0037820,Isle of the Dead,1945,71,"Drama,Horror,Mystery",6.6,3245,Mark Robson,Boris Karloff,Ellen Drew,Marc Cramer,BG,Male,Female,Male,Male,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
395,tt0037843,Keep Your Powder Dry,1945,93,"Drama,War",6.5,304,Edward Buzzell,Lana Turner,Laraine Day,Susan Peters,MX,Female,Female,Female,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3
396,tt0037884,The Lost Weekend,1945,101,"Drama,Film-Noir",8.0,28198,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,CL,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
397,tt0037913,Mildred Pierce,1945,111,"Crime,Drama,Film-Noir",8.0,18341,Michael Curtiz,Joan Crawford,Jack Carson,Zachary Scott,BR,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
398,tt0037954,"Objective, Burma!",1945,142,"Action,Adventure,Drama",7.4,3799,Raoul Walsh,Errol Flynn,James Brown,William Prince,FR,Male,Male,Male,Male,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
399,tt0038017,The Red Dragon,1945,64,"Comedy,Crime,Mystery",7.5,541,Phil Rosen,Sidney Toler,Fortunio Bonanova,Benson Fong,BR,Male,Unknown,Unknown,Male,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1
400,tt0038057,Scarlet Street,1945,102,"Drama,Film-Noir,Thriller",7.9,11346,Fritz Lang,Edward G. Robinson,Joan Bennett,Dan Duryea,BR,Male,Female,Male,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
401,tt0038109,Spellbound,1945,111,"Film-Noir,Mystery,Romance",7.6,36439,Alfred Hitchcock,Ingrid Bergman,Gregory Peck,Michael Chekhov,GB,Female,Male,Male,Male,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
402,tt0038166,The Three Caballeros,1944,71,"Animation,Comedy,Family",6.5,9572,,Aurora Miranda,Carmen Molina,Dora Luz,IT,Female,Female,Female,Unknown,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
403,tt0038259,The Woman in Green,1945,68,"Drama,Mystery",6.9,4321,Roy William Neill,Basil Rathbone,Nigel Bruce,Hillary Brooke,FR,Male,Male,Female,Male,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3
404,tt0038348,Beauty and the Beast,1946,96,"Drama,Fantasy,Romance",8.0,20849,,Jean Marais,Josette Day,Mila Parély,BG,Male,Female,Female,Unknown,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3
405,tt0038355,The Big Sleep,1946,114,"Crime,Film-Noir,Mystery",8.0,69632,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,BG,Male,Female,Male,Male,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
406,tt0038409,The Chase,1946,86,"Film-Noir,Thriller",6.7,1108,Arthur Ripley,Robert Cummings,Michèle Morgan,Steve Cochran,PT,Male,Female,Male,Male,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
407,tt0038453,The Dark Corner,1946,99,"Crime,Drama,Film-Noir",7.2,3306,Henry Hathaway,Lucille Ball,Clifton Webb,William Bendix,BG,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
408,tt0038461,Deception,1946,115,"Crime,Drama,Film-Noir",7.3,2413,Irving Rapper,Bette Davis,Paul Henreid,Claude Rains,FR,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
409,tt0038474,Devotion,1946,107,"Biography,Drama",6.7,634,Curtis Bernhardt,Olivia de Havilland,Ida Lupino,Paul Henreid,PT,Female,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
410,tt0038494,Dressed to Kill,1946,76,"Crime,Mystery",7.0,4376,Roy William Neill,Basil Rathbone,Nigel Bruce,Patricia Morison,US,Male,Male,Female,Male,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3
411,tt0038499,Duel in the Sun,1946,129,"Drama,Romance,Western",6.9,6895,,Jennifer Jones,Joseph Cotten,Gregory Peck,MX,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2
412,tt0038559,Gilda,1946,110,"Drama,Film-Noir,Romance",7.8,22883,Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,SI,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
413,tt0038589,The Harvey Girls,1946,102,"Comedy,Musical,Western",7.1,2848,George Sidney,Judy Garland,Ray Bolger,John Hodiak,PT,Female,Male,Male,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
414,tt0038650,It's a Wonderful Life,1946,130,"Drama,Family,Fantasy",8.6,319896,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,HU,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3
415,tt0038661,The Jolson Story,1946,128,"Biography,Drama,Music",7.4,1299,Alfred E. Green,Larry Parks,Evelyn Keyes,William Demarest,IT,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
416,tt0038733,Stairway to Heaven,1946,104,"Comedy,Drama,Fantasy",8.1,15430,,David Niven,Kim Hunter,Robert Coote,UY,Male,Female,Male,Unknown,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
417,tt0038762,My Darling Clementine,1946,97,"Biography,Drama,Western",7.8,18085,John Ford,Henry Fonda,Linda Darnell,Victor Mature,SE,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
418,tt0038787,Notorious,1946,101,"Drama,Film-Noir,Romance",8.0,80156,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,HU,Male,Female,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
419,tt0038854,The Postman Always Rings Twice,1946,113,"Crime,Drama,Film-Noir",7.6,15540,Tay Garnett,Lana Turner,John Garfield,Cecil Kellaway,XWG,Female,Male,Male,Unknown,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
420,tt0038890,"Rome, Open City",1945,103,"Drama,Thriller,War",8.1,18641,Roberto Rossellini,Anna Magnani,Aldo Fabrizi,Marcello Pagliero,MX,Female,Male,Male,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
421,tt0038924,The Seventh Veil,1945,94,"Drama,Music",7.0,1227,Compton Bennett,James Mason,Ann Todd,Herbert Lom,PT,Male,Female,Male,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3
422,tt0038969,Song of the South,1946,94,"Animation,Comedy,Family",7.3,9451,,Ruth Warrick,Bobby Driscoll,James Baskett,IR,Female,Male,Male,Unknown,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,2
423,tt0038990,The Strange Woman,1946,100,"Drama,Film-Noir,Romance",6.7,1210,,Hedy Lamarr,George Sanders,Louis Hayward,BR,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3
424,tt0038991,The Stranger,1946,95,"Crime,Drama,Film-Noir",7.4,15129,Orson Welles,Orson Welles,Edward G. Robinson,Loretta Young,FI,Male,Male,Female,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3
425,tt0039017,Terror by Night,1946,60,"Crime,Drama,Film-Noir",7.0,4354,Roy William Neill,Basil Rathbone,Nigel Bruce,Alan Mowbray,BR,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
426,tt0039054,Two Sisters from Boston,1946,112,"Comedy,Musical",6.6,372,Henry Koster,Kathryn Grayson,June Allyson,Lauritz Melchior,HU,Female,Female,Male,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
427,tt0039192,Black Narcissus,1947,101,Drama,8.0,17541,,Deborah Kerr,David Farrar,Flora Robson,XYU,Female,Male,Female,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3
428,tt0039236,Calendar Girl,1947,88,"Musical,Romance",6.1,156,Allan Dwan,Jane Frazee,William Marshall,Gail Patrick,US,Female,Male,Female,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,2
429,tt0039286,Crossfire,1947,86,"Crime,Drama,Film-Noir",7.4,6102,Edward Dmytryk,Robert Young,Robert Mitchum,Robert Ryan,AR,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2
430,tt0039349,The Egg and I,1947,108,"Animation,Comedy,Romance",7.2,1885,Chester Erskine,Claudette Colbert,Fred MacMurray,Marjorie Main,BE,Female,Male,Female,Male,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3
431,tt0039360,The Exile,1947,95,"Adventure,Romance",6.7,361,Max Ophüls,Douglas Fairbanks Jr.,Maria Montez,Rita Corday,PT,Male,Female,Female,Male,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
432,tt0039420,The Ghost and Mrs. Muir,1947,104,"Comedy,Drama,Fantasy",7.9,13077,Joseph L. Mankiewicz,Gene Tierney,Rex Harrison,George Sanders,DE,Male,Male,Male,Male,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3
433,tt0039431,Good News,1947,93,"Comedy,Musical,Romance",7.8,2068,Charles Walters,June Allyson,Peter Lawford,Patricia Marshall,FR,Female,Male,Female,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2
434,tt0039441,Gunfighters,1947,87,Western,6.3,437,George Waggner,Randolph Scott,Barbara Britton,Dorothy Hart,GR,Male,Female,Female,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2
435,tt0039650,Nada,1947,76,Drama,6.6,81,Edgar Neville,Conchita Montes,Fosco Giachetti,María Denis,\N,Female,Male,Female,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3
436,tt0039677,Odd Man Out,1947,116,"Crime,Drama,Film-Noir",7.8,7201,Carol Reed,James Mason,Robert Newton,Cyril Cusack,SE,Male,Male,Male,Female,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2
437,tt0039689,Out of the Past,1947,97,"Crime,Drama,Film-Noir",8.1,26507,Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,HU,Male,Female,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
438,tt0039694,The Paradine Case,1947,125,"Crime,Drama,Romance",6.5,8482,Alfred Hitchcock,Gregory Peck,Ann Todd,Charles Laughton,NO,Male,Female,Male,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
439,tt0039819,The Shocking Miss Pilgrim,1947,85,"Comedy,Musical,Romance",6.4,314,,Betty Grable,Dick Haymes,Anne Revere,BR,Female,Male,Female,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3
440,tt0040098,Anna Karenina,1948,139,"Drama,Romance",6.7,2086,Julien Duvivier,Vivien Leigh,Ralph Richardson,Kieron Moore,GB,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2
441,tt0040183,Bonnie Prince Charlie,1948,136,"Biography,Drama,History",5.1,171,,David Niven,Margaret Leighton,Morland Graham,PT,Male,Female,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2
442,tt0040202,Call Northside 777,1948,112,"Drama,Film-Noir",7.4,6833,Henry Hathaway,James Stewart,Richard Conte,Lee J. Cobb,FR,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
443,tt0040214,Casbah,1948,94,"Crime,Musical",6.3,304,John Berry,Yvonne De Carlo,Tony Martin,Peter Lorre,GR,Female,Male,Male,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
444,tt0040221,Caught,1949,88,"Drama,Film-Noir,Thriller",7.1,2561,Max Ophüls,James Mason,Barbara Bel Geddes,Robert Ryan,PL,Male,Female,Male,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
445,tt0040242,Command Decision,1948,112,"Action,Drama,War",7.3,1624,Sam Wood,Clark Gable,Walter Pidgeon,Van Johnson,ES,Male,Male,Male,Male,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
446,tt0040308,Easter Parade,1948,107,"Musical,Romance",7.5,7114,Charles Walters,Judy Garland,Fred Astaire,Peter Lawford,US,Female,Male,Male,Male,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,3
447,tt0040321,Enchantment,1948,100,"Drama,Romance",7.2,757,Irving Reis,David Niven,Teresa Wright,Evelyn Keyes,US,Male,Female,Female,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,3
448,tt0040379,The Fuller Brush Man,1948,93,"Action,Adventure,Comedy",7.1,441,S. Sylvan Simon,Red Skelton,Janet Blair,Don McGuire,GB,Unknown,Female,Male,Unknown,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
449,tt0040416,Hamlet,1948,154,Drama,7.8,12986,Laurence Olivier,Laurence Olivier,Jean Simmons,John Laurie,IT,Female,Male,Male,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
450,tt0040458,I Remember Mama,1948,134,"Drama,Family",8.2,4288,George Stevens,Irene Dunne,Barbara Bel Geddes,Oskar Homolka,US,Female,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,3
451,tt0040491,Joan of Arc,1948,145,"Biography,Drama,History",6.5,2245,Victor Fleming,Ingrid Bergman,José Ferrer,Francis L. Sullivan,US,Female,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,3
452,tt0040522,Bicycle Thieves,1948,89,Drama,8.3,110537,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,MX,Male,Male,Unknown,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2
453,tt0040613,Mr. Blandings Builds His Dream House,1948,94,"Comedy,Romance",7.3,8685,H.C. Potter,Cary Grant,Myrna Loy,Melvyn Douglas,XWG,Male,Female,Male,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3
454,tt0040724,Red River,1948,133,"Action,Adventure,Romance",7.8,23600,,John Wayne,Montgomery Clift,Joanne Dru,PL,Male,Male,Female,Unknown,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
455,tt0040725,The Red Shoes,1948,134,"Drama,Music,Romance",8.3,22581,,Anton Walbrook,Marius Goring,Moira Shearer,SE,Male,Male,Female,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3
456,tt0040746,Rope,1948,80,"Crime,Drama,Mystery",8.0,106669,Alfred Hitchcock,James Stewart,John Dall,Farley Granger,BE,Male,Male,Unknown,Male,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
457,tt0040806,The Snake Pit,1948,108,"Drama,Mystery",7.7,5492,Anatole Litvak,Olivia de Havilland,Mark Stevens,Leo Genn,BR,Female,Male,Male,Male,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
458,tt0040897,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.3,90031,John Huston,Humphrey Bogart,Walter Huston,Tim Holt,NO,Male,Male,Male,Male,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
459,tt0041088,Act of Violence,1949,82,"Drama,Film-Noir,Thriller",7.5,3541,Fred Zinnemann,Van Heflin,Robert Ryan,Janet Leigh,FR,Male,Male,Female,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
460,tt0041090,Adam's Rib,1949,101,"Comedy,Drama,Romance",7.6,16972,George Cukor,Spencer Tracy,Katharine Hepburn,Judy Holliday,FI,Male,Female,Female,Male,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
461,tt0041094,The Adventures of Ichabod and Mr. Toad,1949,68,"Animation,Comedy,Family",7.1,9812,,Bing Crosby,Basil Rathbone,Eric Blore,\N,Unknown,Male,Male,Unknown,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
462,tt0041154,Late Spring,1949,108,Drama,8.3,10585,Yasujirô Ozu,Chishû Ryû,Setsuko Hara,Yumeji Tsukioka,AR,Unknown,Female,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3
463,tt0041158,The Barkleys of Broadway,1949,109,"Comedy,Musical",7.1,2284,Charles Walters,Fred Astaire,Ginger Rogers,Oscar Levant,FR,Male,Female,Male,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
464,tt0041386,The Fountainhead,1949,114,"Drama,Romance",7.1,7911,King Vidor,Gary Cooper,Patricia Neal,Raymond Massey,HU,Male,Female,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
465,tt0041452,The Heiress,1949,115,"Drama,Romance",8.2,10938,William Wyler,Olivia de Havilland,Montgomery Clift,Ralph Richardson,DK,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
466,tt0041498,I Was a Male War Bride,1949,105,"Comedy,Romance,War",7.1,6411,Howard Hawks,Cary Grant,Ann Sheridan,Marion Marshall,TR,Male,Female,Female,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2
467,tt0041546,Kind Hearts and Coronets,1949,106,"Comedy,Crime",8.1,30220,Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,HU,Male,Male,Female,Male,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
468,tt0041587,A Letter to Three Wives,1949,103,"Drama,Romance",7.9,6935,Joseph L. Mankiewicz,Jeanne Crain,Linda Darnell,Ann Sothern,XWG,Female,Female,Female,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,3
469,tt0041594,Little Women,1949,122,"Drama,Family,Romance",7.3,5263,Mervyn LeRoy,June Allyson,Peter Lawford,Margaret O'Brien,BR,Female,Male,Female,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,3
470,tt0041628,The Man on the Eiffel Tower,1950,97,"Mystery,Thriller",5.9,631,,Charles Laughton,Franchot Tone,Burgess Meredith,BR,Male,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2
471,tt0041650,Mighty Joe Young,1949,94,"Adventure,Drama,Fantasy",7.0,3791,Ernest B. Schoedsack,Terry Moore,Ben Johnson,Robert Armstrong,\N,Male,Male,Male,Male,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
472,tt0041716,On the Town,1949,98,"Comedy,Musical,Romance",7.6,13460,,Gene Kelly,Frank Sinatra,Betty Garrett,DK,Male,Male,Female,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3
473,tt0041719,Orpheus,1950,95,"Drama,Fantasy,Romance",8.0,8335,Jean Cocteau,Jean Marais,François Périer,María Casares,FI,Male,Male,Female,Male,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
474,tt0041746,Pinky,1949,102,Drama,7.2,2172,,Jeanne Crain,Ethel Barrymore,Ethel Waters,MX,Female,Female,Female,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,3
475,tt0041859,The Set-Up,1949,73,"Crime,Film-Noir,Sport",7.8,6385,Robert Wise,Robert Ryan,Audrey Totter,George Tobias,BR,Male,Female,Male,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
476,tt0041959,The Third Man,1949,104,"Film-Noir,Mystery,Thriller",8.2,128840,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,MX,Male,Male,Female,Female,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
477,tt0042004,Under Capricorn,1949,117,"Crime,Drama,Romance",6.2,5172,Alfred Hitchcock,Ingrid Bergman,Joseph Cotten,Michael Wilding,PL,Female,Male,Male,Male,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
478,tt0042192,All About Eve,1950,138,Drama,8.3,95074,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,FI,Female,Female,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
479,tt0042208,The Asphalt Jungle,1950,112,"Crime,Drama,Film-Noir",7.9,19812,John Huston,Sterling Hayden,Louis Calhern,Jean Hagen,FR,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
