,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,Director,topBilled,TopBilled2nd,TopBilled3rd,primaryRegion,topBilledGender,secondTopBilledGender,thirdTopBilledGender,directorGender,Action,Adventure,Comedy,Drama,SciFi,Horror,Romance,Thriller,Mystery,Crime,Animation,Fantasy,Documentary,Musical,Sport,Adult,Western,Family,topBilled_Male,topBilled_Female,topBilled_Unknown,secondBilled_Male,secondBilled_Female,secondBilled_Unknown,thirdBilled_Male,thirdBilled_Female,thirdBilled_Unknown,director_Male,director_Female,director_Unknown,US_Region,bechdelScore
18,tt0011588,Pollyanna,1920,58,"Comedy,Drama,Family",6.9,274,Paul Powell,Mary Pickford,Wharton James,Katherine Griffith,\N,Female,Unknown,Female,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,3
19,tt0011870,Within Our Gates,1920,79,"Drama,Romance",6.4,1655,Oscar Micheaux,Evelyn Preer,Flo Clements,James D. Ruffin,RU,Female,Unknown,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,3
20,tt0011979,The Blot,1921,80,Drama,6.8,376,Lois Weber,Philip Hubbard,Margaret McWade,Claire Windsor,US,Male,Female,Female,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,3
21,tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.3,82232,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,HU,Male,Female,Unknown,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
22,tt0012364,The Phantom Carriage,1921,100,"Drama,Fantasy,Horror",8.1,7809,Victor Sjöström,Victor Sjöström,Hilda Borgström,Tore Svennberg,SE,Male,Female,Male,Male,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
23,tt0012532,Orphans of the Storm,1921,150,"Drama,History,Romance",7.8,4099,D.W. Griffith,Lillian Gish,Dorothy Gish,Joseph Schildkraut,RU,Female,Female,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,3
24,tt0013086,Dr. Mabuse: The Gambler,1922,242,"Crime,Mystery,Thriller",7.9,5985,Fritz Lang,Rudolf Klein-Rogge,Aud Egede-Nissen,Gertrude Welcker,ES,Male,Female,Female,Male,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
25,tt0013140,Foolish Wives,1922,117,"Drama,Thriller",7.3,2366,Erich von Stroheim,Rudolph Christians,Miss DuPont,Maude George,PT,Male,Unknown,Female,Male,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,3
26,tt0013257,Häxan,1922,91,"Documentary,Fantasy,Horror",7.7,9103,Benjamin Christensen,Benjamin Christensen,Elisabeth Christensen,Maren Pedersen,PL,Male,Female,Female,Male,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3
27,tt0013367,The Man from Beyond,1922,74,Mystery,5.5,170,Burton L. King,Harry Houdini,Arthur Maude,Albert Tavernier,DK,Male,Male,Male,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
28,tt0013427,Nanook of the North,1922,78,Documentary,7.7,8831,Robert J. Flaherty,Allakariallak,Nyla,Cunayou,SE,Unknown,Female,Unknown,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
29,tt0013428,Nathan der Weise,1922,128,"Drama,History",7.1,89,Manfred Noa,Fritz Greiner,Carl de Vogt,Lia Eibenschütz,PL,Male,Male,Female,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
30,tt0013442,Nosferatu,1922,94,"Fantasy,Horror",8.0,75324,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,ES,Male,Male,Male,Unknown,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2
31,tt0013496,Phantom,1922,125,"Drama,Fantasy,Romance",7.0,1235,F.W. Murnau,Alfred Abel,Frida Richard,Aud Egede-Nissen,IT,Male,Female,Female,Unknown,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2
32,tt0013626,The Smiling Madame Beudet,1923,54,Drama,6.8,1533,Germaine Dulac,Germaine Dermoz,Alexandre Arquillière,Jean d'Yd,HU,Female,Male,Male,Female,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3
33,tt0014341,Our Hospitality,1923,65,"Comedy,Romance,Thriller",7.9,8203,,Buster Keaton,Natalie Talmadge,Joe Keaton,FR,Male,Female,Male,Unknown,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
34,tt0014429,Safety Last!,1923,70,"Comedy,Thriller",8.2,14757,,Harold Lloyd,Mildred Davis,Bill Strother,FI,Male,Female,Male,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
35,tt0014469,The Silent Command,1923,80,Drama,6.1,52,J. Gordon Edwards,Edmund Lowe,Alma Tell,Martha Mansfield,ES,Male,Female,Female,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,2
36,tt0014611,Why Worry?,1923,63,"Adventure,Comedy,Family",7.5,1253,,Harold Lloyd,Jobyna Ralston,John Aasen,SE,Male,Unknown,Male,Unknown,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
37,tt0014945,Girl Shy,1924,87,"Comedy,Romance",8.0,2566,,Harold Lloyd,Jobyna Ralston,Richard Daniels,SE,Male,Unknown,Male,Unknown,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
38,tt0015116,Manhandled,1924,75,"Comedy,Drama",8.0,823,Allan Dwan,Gloria Swanson,Tom Moore,Lilyan Tashman,\N,Female,Male,Male,Male,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3
39,tt0015163,The Navigator,1924,59,"Action,Comedy,Romance",8.0,7303,,Buster Keaton,Kathryn McGuire,Frederick Vroom,DE,Male,Female,Male,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
40,tt0015174,Die Nibelungen: Kriemhild's Revenge,1924,129,"Adventure,Drama,Fantasy",7.9,3215,Fritz Lang,Margarete Schön,Gertrud Arnold,Theodor Loos,DE,Female,Female,Male,Male,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2
41,tt0015175,Die Nibelungen: Siegfried,1924,143,"Adventure,Drama,Fantasy",8.1,4260,Fritz Lang,Paul Richter,Margarete Schön,Theodor Loos,IT,Male,Female,Male,Male,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
42,tt0015324,Sherlock Jr.,1924,45,"Action,Comedy,Romance",8.3,24786,Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,RS,Male,Female,Male,Male,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
43,tt0015361,Strike,1925,82,Drama,7.6,5669,Sergei M. Eisenstein,Grigoriy Aleksandrov,Maksim Shtraukh,Mikhail Gomorov,GR,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
44,tt0015400,The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",7.9,4596,Raoul Walsh,Douglas Fairbanks,Julanne Johnston,Snitz Edwards,FI,Male,Unknown,Unknown,Male,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
45,tt0015498,Wild Oranges,1924,88,"Drama,Romance",7.0,343,King Vidor,Frank Mayo,Virginia Valli,Ford Sterling,IT,Male,Female,Unknown,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
46,tt0015532,The Adventures of Prince Achmed,1926,81,"Adventure,Animation,Fantasy",7.9,4176,,Lotte Reiniger,Carl Koch,Wolfgang Zeller,\N,Female,Male,Male,Unknown,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
47,tt0015624,The Big Parade,1925,151,"Drama,Romance,War",8.2,5353,,John Gilbert,Renée Adorée,Hobart Bosworth,HU,Male,Female,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2
48,tt0015648,Battleship Potemkin,1925,75,"Drama,History",8.0,44807,Sergei M. Eisenstein,Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov,US,Male,Male,Male,Male,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
49,tt0015841,The Freshman,1925,76,"Comedy,Family,Sport",7.6,4122,,Harold Lloyd,Jobyna Ralston,Brooks Benedict,EE,Male,Unknown,Male,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
50,tt0015863,Go West,1925,68,"Comedy,Western",7.3,2889,Buster Keaton,Buster Keaton,Howard Truesdale,Kathleen Myers,DE,Male,Male,Female,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
51,tt0015864,The Gold Rush,1925,95,"Adventure,Comedy,Drama",8.2,78358,Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,UA,Male,Male,Male,Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
52,tt0016039,The Lost World,1925,106,"Adventure,Fantasy,Sci-Fi",7.1,3757,Harry O. Hoyt,Wallace Beery,Bessie Love,Lloyd Hughes,PT,Male,Female,Male,Male,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
53,tt0016220,The Phantom of the Opera,1925,93,Horror,7.7,13760,,Lon Chaney,Mary Philbin,Norman Kerry,RS,Female,Female,Male,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2
54,tt0016332,Seven Chances,1925,56,"Comedy,Romance",8.0,7219,Buster Keaton,Buster Keaton,Ruth Dwyer,T. Roy Barnes,DE,Male,Female,Unknown,Male,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
55,tt0016884,Flesh and the Devil,1926,112,"Drama,Romance",8.1,3480,Clarence Brown,John Gilbert,Greta Garbo,Lars Hanson,BR,Male,Female,Male,Male,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
56,tt0016895,For Heaven's Sake,1926,58,"Action,Comedy,Romance",7.6,1120,Sam Taylor,Harold Lloyd,Jobyna Ralston,Noah Young,GR,Male,Unknown,Male,Male,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
57,tt0017136,Metropolis,1927,153,"Drama,Sci-Fi",8.3,127935,Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,GR,Female,Male,Male,Male,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
58,tt0017410,So's Your Old Man,1926,67,Comedy,6.8,129,Gregory La Cava,W.C. Fields,Alice Joyce,Charles 'Buddy' Rogers,US,Unknown,Female,Male,Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,3
59,tt0017449,The Temptress,1926,117,"Drama,Romance",7.1,896,,Greta Garbo,Antonio Moreno,Marc McDermott,GR,Female,Male,Male,Unknown,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
